index,title,keywords,cast,director,Img_links,Synopsys
4114,Teeth,,Jess Weixler John Hensley Josh Pais Hale Appleman Lenny Von Dohlen,Mitchell Lichtenstein,"https://m.media-amazon.com/images/M/MV5BZjVjMjY4MzMtYzljNi00NDQ5LTk3NTYtNzY5NzYyY2FjZTZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Still a stranger to her own body, a high school student discovers she has a physical advantage when she becomes the object of male violence."
4115,Six-String Samurai,independent film,Jeffrey Falcon Justin McGuire Kim De Angelo Stephane Gauger Clifford Hugo,Lance Mungia,"https://m.media-amazon.com/images/M/MV5BZWM4Mjc2YzUtM2IyMC00MWE4LWJiNDEtNjVmYjRhZjU1YTdmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR1,0,182,268_AL__QL50.jpg","In the post-apocalyptic world of 1960s Nevada, a rock 'n' roll samurai on his way to Lost Vegas takes a young orphan boy under his protection as Death and his metalhead Horsemen chase after them."
4116,Hum To Mohabbat Karega,,,,"https://m.media-amazon.com/images/M/MV5BMTkxMTAyNjE0Ml5BMl5BanBnXkFtZTcwMzU2ODgzMQ@@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","Raju, a waiter, is in love with the famous TV reporter Greeta Kapoor. After a man is murdered, Kapoor shows up at Raju's door to ask him some questions - it turns out that Raju served the ... See full summary »"
4117,It's All Gone Pete Tong,disc jockey loss of family cocaine comeback recording studio,Paul Kaye Kate Magowan Neil Maskell Beatriz Batarda Pete Tong,Michael Dowse,"https://m.media-amazon.com/images/M/MV5BMTY0OTY2MzMyN15BMl5BanBnXkFtZTcwNzE5NTgyMQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A famous DJ in the Ibiza club scene finds the alcohol and drug-fueled party that is his life threatened by the progressive loss of his hearing.
4118,Saint John of Las Vegas,independent film aftercreditsstinger,Steve Buscemi Romany Malco Tim Blake Nelson Sarah Silverman John Cho,Hue Rhodes,"https://m.media-amazon.com/images/M/MV5BMTQ0NjMxMjk2NF5BMl5BanBnXkFtZTcwNzI5MDU4Mg@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",An ex-gambler is lured back into the game by a veteran insurance-fraud investigator.
4119,24 7: Twenty Four Seven,transporter sport friends nottingham,Bob Hoskins Danny Nussbaum Bruce Jones Annette Badland Frank Harper,Shane Meadows,"https://m.media-amazon.com/images/M/MV5BODY1NTQzMDQ0M15BMl5BanBnXkFtZTcwMTg5OTUxMQ@@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","In a typical English working-class town, the juveniles have nothing more to do than hang around in gangs. One day, Alan Darcy, a highly motivated man with the same kind of youth experience,... See full summary »"
4120,Stonewall,stonewall riot,Jeremy Irvine Jonny Beauchamp Jonathan Rhys Meyers Ron Perlman Caleb Landry Jones,Roland Emmerich,"https://m.media-amazon.com/images/M/MV5BMjE4MDY0Mjk0MV5BMl5BanBnXkFtZTgwMTkzMDY0NjE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A young man's political awakening and coming of age during the days and weeks leading up to the Stonewall Riots.
4121,Roadside Romeo,,Saif Ali Khan Kareena Kapoor Javed Jaffrey Tanaaz Currim Irani Vrajesh Hirjee,,"https://m.media-amazon.com/images/M/MV5BOTlhNjM4NTYtZmRlNC00Y2UwLWFhY2QtNDM2NDFiZjU1OWQ4XkEyXkFqcGdeQXVyMjAzMjcxNTE@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","This is the story of Romeo. A dude who was living the life. He had the works - the mansion to live in, the chicks to party with and the cars to be driven around in. Until one day, the ... See full summary »"
4122,This Thing of Ours,heist mafia internet,James Caan James Caan Frank Vincent Vincent Pastore Louis Vanaria,Danny Provenzano,"https://m.media-amazon.com/images/M/MV5BMTM5NzE3ODc0N15BMl5BanBnXkFtZTcwMTU3NjQzMQ@@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","Using the Internet and global satellites, a group of gangsters pull off the biggest bank heist in the Mafia's history."
4123,The Lost Medallion: The Adventures of Billy Stone,,William Brent Sammi Hanratty James Hong Alex Kendrick Mark Dacascos,Bill Muir,"https://m.media-amazon.com/images/M/MV5BNzgyNjQzMjQ5Ml5BMl5BanBnXkFtZTcwODQzNTU3OA@@._V1_UY268_CR10,0,182,268_AL__QL50.jpg",A man who stops into a foster home to drop off some donations soon tells the kids a story about two teenage friends who uncover a long-lost medallion that transports them back in time.
4124,The Last Five Years,wife musical marriage divorce,Anna Kendrick Jeremy Jordan Natalie Knepp Bettina Bresnan Marceline Hugot,Richard LaGravenese,"https://m.media-amazon.com/images/M/MV5BMTA2MTMwMjIxMTdeQTJeQWpwZ15BbWU4MDAwMTYxNzMx._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A struggling actress and her novelist lover each illustrate the struggle and deconstruction of their love affair.
4125,The Missing Person,detective independent film train alcoholic missing person,Michael Shannon Amy Ryan Frank Wood Linda Emond John Ventimiglia,Noah Buschel,"https://m.media-amazon.com/images/M/MV5BMTI3MTE4MDQyMF5BMl5BanBnXkFtZTcwODM5NTA5Mg@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Private detective John Rosow is hired to tail a man on a train from Chicago to Los Angeles. Rosow gradually uncovers the man's identity as a missing person; one of the thousands presumed ... See full summary »
4126,Return of the Living Dead 3,gang zombie,Melinda Clarke J. Trevor Edmond Kent McCord Sarah Douglas James T. Callahan,Brian Yuzna,"https://m.media-amazon.com/images/M/MV5BNTUyNTNjNzYtMDVhYi00YTEwLWJiMGYtNTcxNTFhZjU4NDFiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Having recently witnessed the horrific results of a top secret project to bring the dead back to life, a distraught youth performs the operation on his girlfriend after she's killed in a motorcycle accident."
4127,London,new york celebration,Chris Evans Jessica Biel Joy Bryant Jason Statham Kelli Garner,Hunter Richards,"https://m.media-amazon.com/images/M/MV5BMTc5MzQxNTU3N15BMl5BanBnXkFtZTcwODE2MzIzMQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",London is a drug laden adventure that centers on a party in a New York loft where a young man is trying to win back his ex-girlfriend.
4128,Sherrybaby,independent film mother daughter relationship woman director,Maggie Gyllenhaal Michelle Hurst Sandra Rodr\u00edguez Danny Trejo Brad William Henke,Laurie Collyer,"https://m.media-amazon.com/images/M/MV5BMTU1Mzc0ODE4MF5BMl5BanBnXkFtZTcwNjU1MzYzMQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Sherry tries to integrate again into society and become a good mother.
4129,Circle,survival execution stranger no memory,Julie Benz Carter Jenkins Cesar Garcia Mercy Malick Lisa Pelikan,Aaron Hann,"https://m.media-amazon.com/images/M/MV5BMTg0Mjg0MjUwOF5BMl5BanBnXkFtZTgwNjk0NzQ4NzE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Held captive and faced with their imminent executions, fifty strangers are forced to choose the one person among them who deserves to live."
4130,Eden Lake,beach wife husband relationship lake camping rottweiler,Kelly Reilly Michael Fassbender Tara Ellis Jack O'Connell Finn Atkins,James Watkins,"https://m.media-amazon.com/images/M/MV5BMTYwMzE0OTQzN15BMl5BanBnXkFtZTcwOTY5MDIwMg@@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","Refusing to let anything spoil their romantic weekend break, a young couple confront a gang of loutish youths with terrifyingly brutal consequences."
4131,Plush,woman director,Emily Browning Xavier Samuel Cam Gigandet Dawn Olivieri Frances Fisher,Catherine Hardwicke,"https://m.media-amazon.com/images/M/MV5BNjQ4MTQ0MTA5Ml5BMl5BanBnXkFtZTgwMzY3MTYwMDE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A young singer/songwriter, despite being married, becomes involved with her new guitarist, who she soon discovers has a dark past and may be a danger to her and those close to her."
4132,Lesbian Vampire Killers,female nudity horror dark comedy female homosexuality female vampire,James Corden Mathew Horne Paul McGann MyAnna Buring Vera Filatova,Phil Claydon,"https://m.media-amazon.com/images/M/MV5BYWQ5ZDM3NjUtMzJhNy00MTFmLThiY2MtNjNhZDdlODE4M2RiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","Their women having been enslaved by the local pack of lesbian vampires thanks to an ancient curse, the remaining menfolk of a rural town send two hapless young lads out onto the moors as a sacrifice."
4133,Gangster's Paradise: Jerusalema,hearing gang of thieves organized crime,Daniel Buckland Robert Hobbs Rapulana Seiphemo Jeffrey Zekele Ronnie Nyakale,Ralph Ziman,"https://m.media-amazon.com/images/M/MV5BMTc5OTkyMzMzNl5BMl5BanBnXkFtZTcwNzczNDk0Mw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A young hoodlum's rise from a small-time criminal to a powerful crime entrepreneur during the turbulent years before and after the fall of apartheid.
4134,Freeze Frame,loss of family camcorder alibi suspect murder,Lee Evans Sean McGinley Ian McNeice Colin Salmon,John Simpson,"https://m.media-amazon.com/images/M/MV5BNzA3Njc1NTktOTc2Zi00YzkzLWFlZTktMGNhM2NkZDZiNTJjXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_UY268_CR4,0,182,268_AL__QL50.jpg","After being accused of a triple-murder, a man films his every moment of his to provide an alibi. Things takes a worst turn when a detective suspects him and the tapes goes missing which can prove his innocence."
4135,Grave Encounters,camcorder reality insane asylum paranormal haunting,Sean Rogerson Juan Riedinger Ashleigh Gryzko Mackenzie Gray Arthur Corber,Colin Minihan,"https://m.media-amazon.com/images/M/MV5BMjQ0NjQxOTM5N15BMl5BanBnXkFtZTcwNzUwMzMwNg@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","For their ghost hunting reality show, a production crew locks themselves inside an abandoned mental hospital that's supposedly haunted - and it might prove to be all too true."
4136,Stitches,slapstick teen angst slaughter dark comedy supernatural being,Ross Noble Tommy Knight Gemma-Leah Devereux John McDonnell,Conor McMahon,"https://m.media-amazon.com/images/M/MV5BMTliYzkyZDktZjEwZS00OTEzLWFjNDAtZjA4NjQ0Y2ZkZGU2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR4,0,182,268_AL__QL50.jpg",A clown comes back from the dead to haunt those who took his life during a fatal party mishap.
4137,Nine Dead,kidnapping murder suspense,Melissa Joan Hart John Terry Chip Bent Lawrence Turner Edrick Browne,Chris Shadley,"https://m.media-amazon.com/images/M/MV5BMTM1MjMxMjUzMF5BMl5BanBnXkFtZTcwNDY4ODIxMw@@._V1_UY268_CR5,0,182,268_AL__QL50.jpg",Nine strangers are kidnapped and forced to figure out the connection they have to each other as one has to die every ten minutes.
4138,"To Be Frank, Sinatra at 100",music actors legendary perfomer classic hollywood frank sinatra,Tony Oppedisano,Simon Napier-Bell,"https://m.media-amazon.com/images/M/MV5BYTFiZWUwZmMtYTQwOC00Y2YwLTgwNGYtYTMwODcyYjg0ZmJmXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY268_CR9,0,182,268_AL__QL50.jpg","The life of Frank Sinatra, as an actor and singer and the steps along the way that led him to become such an icon."
4139,Bananas,revolution political activism loser,Woody Allen Louise Lasser Carlos Montalb\u00e1n Nati Abascal Jacobo Morales,Woody Allen,"https://m.media-amazon.com/images/M/MV5BMTc2MTE3MzI3MF5BMl5BanBnXkFtZTcwODg3OTYwNA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","When a bumbling New Yorker is dumped by his activist girlfriend, he travels to a tiny Latin American nation and becomes involved in its latest rebellion."
4140,Supercapitalist,,Linus Roache Derek Ting Richard Ng Michael Park Kathy Uyen,Simon Yin,"https://m.media-amazon.com/images/M/MV5BNDU1NzUyNzAxNV5BMl5BanBnXkFtZTcwNDQ2NTUwOA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A maverick New York hedge fund trader with uncanny analytic abilities moves to Hong Kong and orchestrates a mega-deal that swiftly escalates beyond his control.
4141,Rockaway,,Nicholas Gonzalez Mario Cimarro Oleg Taktarov Vitali Baganov Ricardo Chavira,Jeff Crook,"https://m.media-amazon.com/images/M/MV5BMzQwNmM2NTMtM2E3NS00Y2U1LWIzNjAtMTJiZDJiODVlNDQ2XkEyXkFqcGdeQXVyNTU3MDU5MDg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Inspired by true events, a man recounts the summer of '94, when he and his brother plotted revenge against their abusive father."
4142,The Lady from Shanghai,new york san francisco aquarium shanghai yacht,Rita Hayworth Orson Welles Everett Sloane Glenn Anders Ted de Corsia,Orson Welles,"https://m.media-amazon.com/images/M/MV5BNWZkNTYxZjQtN2IwZi00OGExLTg3ZDEtODNjMDFkN2Y5Y2NkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Fascinated by gorgeous Mrs. Bannister, seaman Michael O'Hara joins a bizarre yachting cruise, and ends up mired in a complex murder plot."
4143,No Man's Land: The Rise of Reeker,sheriff robber burned alive gore serial killer,Stephen Martines Valerie Cruz Mircea Monroe Desmond Askew Michael Robert Brandon,Dave Payne,"https://m.media-amazon.com/images/M/MV5BZjNjYzY3MGQtY2NlYS00ZDllLWFkMTgtMmE4NjAyMmJkZWQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A sheriff and his son chase casino robbers, only to find the all of them are being chased by something else."
4144,Highway,road movie,Jake Gyllenhaal Selma Blair Jared Leto John C. McGinley Jeremy Piven,James Cox,"https://m.media-amazon.com/images/M/MV5BYjYxMjYxNTktZDkzNy00ZjljLWE1MTEtNzAzODFlY2Q3YmY2XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UY268_CR4,0,182,268_AL__QL50.jpg","When her best friend goes missing at a rodeo, Heidi goes on a search across the desert, digging up secrets and encountering the violence of life on the road."
4145,Small Apartments,,Matt Lucas Juno Temple James Caan Dolph Lundgren Billy Crystal,Jonas \u00c5kerlund,"https://m.media-amazon.com/images/M/MV5BMzg3NDIwNjk5NF5BMl5BanBnXkFtZTcwNDMxMzY0OA@@._V1_UY268_CR2,0,182,268_AL__QL50.jpg",A man is surrounded by strange events and odd neighbors in this adaptation of Chris Millis' novel.
4146,Coffee Town,coffee shop slacker thirty something carefree,Glenn Howerton Steve Little Ben Schwartz Adrianne Palicki Josh Groban,Brad Copeland,"https://m.media-amazon.com/images/M/MV5BMTg4NTE3Njg2OF5BMl5BanBnXkFtZTcwMDU0MjQ2OQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A website manager enlists the help of his two friends in order to convince the owners of his favorite coffee shop -- which doubles as his office -- not to turn their business into a bar.
4147,The Ghastly Love of Johnny X,,Will Keenan Creed Bratton De Anna Joy Brooks Reggie Bannister Jed Rowen,Paul Bunnell,"https://m.media-amazon.com/images/M/MV5BNzExMzc1MzI5N15BMl5BanBnXkFtZTcwMzEzNjkzOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A truly mad concoction, blending 1950s juvenile delinquents, sci-fi melodrama, song-and-dance, and a touch of horror, everything in just the right combination to create an engaging big ... See full summary »"
4148,All Is Bright,christmas tree salesman french canadian,Paul Rudd Paul Giamatti Sally Hawkins Peter Hermann Michael Drayer,Phil Morrison,"https://m.media-amazon.com/images/M/MV5BMjE2ODg4MDUzOF5BMl5BanBnXkFtZTgwMzk5MjkxMDE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","While out on parole, Dennis reluctantly takes a job selling Christmas trees with his old buddy Rene in order to make enough money to buy his estranged daughter the piano she's always wanted."
4149,The Torture Chamber of Dr. Sadism,snake cut-off arm pit revitalization descendant,Lex Barker Christopher Lee Karin Dor Carl Lange Christiane R\u00fccker,Harald Reinl,"https://m.media-amazon.com/images/M/MV5BNThlNzQwNDEtMmI5ZS00MmUyLWJiZDEtM2IzODc3MGVkMmMxXkEyXkFqcGdeQXVyMTAyNDU2NDM@._V1_UY268_CR4,0,182,268_AL__QL50.jpg","In the Olden Tymes, Count Regula is drawn and quartered for killing twelve virgins in his dungeon torture chamber. Thirty-five years later, he comes back to seek revenge on the daughter of ... See full summary »"
4150,Straight A's,brother brother relationship drug addiction sister-in-law,Anna Paquin Ryan Phillippe Luke Wilson Powers Boothe Riley Thomas Stewart,James Cox,"https://m.media-amazon.com/images/M/MV5BMTY5MjIxNTUzNl5BMl5BanBnXkFtZTcwMzk1NzA3OA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Pressured by his deceased mother's ghost to return home to the family he abandoned, a former addict grabs a bag of pills and a sack of marijuana and hits the road to Louisiana."
4151,A Funny Thing Happened on the Way to the Forum,virgin ancient rome freedom sondheim slave,Zero Mostel Phil Silvers Buster Keaton Michael Crawford Jack Gilford,Richard Lester,"https://m.media-amazon.com/images/M/MV5BNWMwNjY0NTgtODFhZC00MDcxLWI2NWUtNzgxZGI3NDY3N2RmXkEyXkFqcGdeQXVyMzU4Nzk4MDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A wily slave must unite a virgin courtesan and his young smitten master to earn his freedom.
4152,Slacker Uprising,presidential elections,Michael Moore Eddie Vedder Robert Ellis Orrall Steve Earle Celeste Zappala,Michael Moore,"https://m.media-amazon.com/images/M/MV5BMTUyOTMyNjE3MF5BMl5BanBnXkFtZTcwMDU0MDY5MQ@@._V1_UY268_CR7,0,182,268_AL__QL50.jpg","Footage from Michael Moore's 60-city tour of college campuses and other venues showcases what the filmmaker calls ""the birth of a new political generation."""
4153,The Legend of Hell's Gate: An American Conspiracy,based on real events,Eric Balfour Lou Taylor Pucci Henry Thomas James Lafferty Summer Glau,Tanner Beard,"https://m.media-amazon.com/images/M/MV5BMTkzNjU0NjQyN15BMl5BanBnXkFtZTcwMTk3NTY2Nw@@._V1_UY268_CR4,0,182,268_AL__QL50.jpg","The story of how 'Hell's Gate' at Possum Kingdom Lake, Texas came to have its name. Relive the story of how three outlaws' expeditions and encounters through historical 1870s Texas were remembered for a lifetime."
4154,The Walking Deceased,spoof zombie,Tim Ogletree Troy Ogletree Dave Sheridan Joey Oglesby Sophia Taylor Ali,Scott Dow,"https://m.media-amazon.com/images/M/MV5BMTQ5NTE5OTI2MV5BMl5BanBnXkFtZTgwNzc1NzY1NDE@._V1_UY268_CR9,0,182,268_AL__QL50.jpg","When a police officer wakes up in a hospital to find out he is in the middle of a zombie apocalypse, he will do anything to find his family, even sacrifice Twitter."
4155,The Curse of Downers Grove,self-defense car mechanic graduation high school shooting,Bella Heathcote Lucas Till Helen Slater Penelope Mitchell Mark L. Young,Derick Martini,"https://m.media-amazon.com/images/M/MV5BMzc3MDYxNjY0Ml5BMl5BanBnXkFtZTgwNDU5MDgzNjE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A teen angst thriller at a high school gripped by an apparent curse that claims the life of a senior every year. Story follows a senior, Chrissie, who is skeptical, and another, Tracy, who believes that she may be the next victim."
4156,Shark Lake,lake shark attack,Dolph Lundgren James Chalke Sara Malakul Lane Michael Aaron Milligan Ibrahim Renno Jr.,Jerry Dugan,"https://m.media-amazon.com/images/M/MV5BNzBlNjVjMGUtZjAzYS00NjY3LWI5ZTctNjRlYWY0MWZmZWUyXkEyXkFqcGdeQXVyMDI4NjM1MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A classic american thriller where the lines between man and beast blur and are questioned.
4157,River's Edge,sex police friends murder,Crispin Glover Keanu Reeves Ione Skye Daniel Roebuck Dennis Hopper,Tim Hunter,"https://m.media-amazon.com/images/M/MV5BNzMyYzVkYjctNDliZi00Yjc0LThiODctOTc5Mzk2Njc5YzM2XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A high school slacker commits a shocking act and proceeds to let his friends in on the secret. However, the friends' reaction is almost as ambiguous and perplexing as the crime itself."
